Date,Net Income (Millions of US $)
2024-03-31,-312
2023-12-31,19
2023-09-30,-545
2023-06-30,1338
2023-03-31,10
2022-12-31,803
2022-09-30,483
2022-06-30,476
2022-03-31,-1635
2021-12-31,-931
2021-09-30,169
2021-06-30,19
2021-03-31,-1250
2020-12-31,-2178
2020-09-30,-2399
2020-06-30,-2067
2020-03-31,-2241
2019-12-31,414
2019-09-30,425
2019-06-30,662
2019-03-31,185
2018-12-31,325
2018-09-30,372
2018-06-30,556
2018-03-31,159
2017-12-31,-583
2017-09-30,661
2017-06-30,864
2017-03-31,340
2016-12-31,197
2016-09-30,737
2016-06-30,950
2016-03-31,700
2015-12-31,3281
2015-09-30,1693
2015-06-30,1704
2015-03-31,932
2014-12-31,596
2014-09-30,942
2014-06-30,864
2014-03-31,480
2013-12-31,-2002
2013-09-30,289
2013-06-30,220
2013-03-31,-341
2012-12-31,263
2012-09-30,-238
2012-06-30,-241
2012-03-31,-1660
2011-12-31,-1095
2011-09-30,-162
2011-06-30,-286
2011-03-31,-436
2010-12-31,-98
2010-09-30,143
2010-06-30,-11
2010-03-31,-505
2009-12-31,-344
2009-09-30,-359
2009-06-30,-390
2009-03-31,-375
